Project number,The date,Region,The town/village,Home address,County/City,Initial year of exploitation ,Building Total Area,Room volume,Average floor height,Reference area,Above-ground floors,Underground floor,Mansard,Roof floor,Initial energy class ,Energy consumption before,Heat energy consumption before,Carbon dioxide emissions before,Carrying out construction works ,Reconstruction of engineering systems,Water heating system,Heat installation,Energy audit number,Energy class after,Heat energy consumption after,Consumption for hot water after,Consumption for mechanical ventilation after,Consumption for lighting after,Consumption for cooling after,Energy consumption after,Heat saving for heating,Total energy consumption saving,Saving of heat energy ,Primary non-renewable energy,Primary total energy consumption,Almost zero energy building,Carbon dioxide emission tons after,Carbon dioxide emission after,Area of the external surface,Average heat transfer coefficient,Average heat transfer coefficient_1,Building calculated heat loss coefficient,Building allowable heat loss coefficient,Indoor temperature heating,Indoor temperature for cooling,Air exchange rate,Ventilation heat loss coefficient,Energy resource for heating 1,Energy resource for heating 2,Energy resource for hot water 1,Energy resource for hot water 2,Energy resource for ventilation,Energy resource for cooling 1,Energy resource for cooling 2,CO2 emission factor for heating 1,CO2 emission factor for heating 2,CO2 emission factor for hot water 1,CO2 emission factor for hot water 2,CO2 emission factor for ventilation,CO2 emission factor for cooling 1,CO2 emission factor for cooling 2,Non-renewable factor for heating 1,Non-renewable factor for heating 2,Non-renewable factor for water 1,Non-renewable factor for water 2,Non-renewable factor for ventilation,Non-renewable factor for cooling 1,Non-renewable factor for cooling 2,Renewable factor for heating 1,Renewable factor for heating 2,Renewable factor for water 1,Renewable factor for water 2,Renewable factor for ventilation,Renewable factor for cooling 1,Renewable factor for cooling 2,Total factor for heating 1,Total factor for heating 2,Total factor for water 1,Total factor for water 2,Total factor for ventilation,Total factor for cooling 1,Total factor for cooling 2
PME-158,28.05.2021,Zemgales,Jaunsv1laukas pagasts,"""Jaunrasas""",Jelgavas novads,2014,179.6,457.98,2.55,179.6,2,0,1,0,D,128.5,95.5,5.72,1,0,0,0,BIS-ĒED-2-2022-3771,C,75,26,0,0,8,108,20.5,20.5,21.47,137,141,0,0.46,2.57,476,0.28,0.31,0.78,1.07,20,24,0.36,0.31,Wood/wood waste,-,Wood/wood waste,-,-,Electricity from the grid,-,15.6,-,15.6,-,-,109,-,1.1,-,1.1,-,-,1.9,-,0,-,0,-,-,0.6,-,1.1,-,1.1,-,-,2.5,-
PME-209,28.05.2021,Zemgales,Īslīces pagasts,Zīlītes,Bauskas novads,1925,154.2,416,2.7,154.2,1,0,0,0,E,192.06,171.07,7.68,1,1,0,0,BIS-ĒED-2-2022-1573,C,90,27,0,0,0,117,81.07,75.06,47.39,143,128,0,4.05,26.29,453,0.36,0.27,1.05,0.8,19,25,0.35,0.3,Gas,-,Gas,-,-,-,-,202,-,202,-,-,-,-,1.1,-,1.1,-,-,-,-,0,-,0,-,-,-,-,1.1,-,1.1,-,-,-,-
PME-207,28.05.2021,Rīgas,Ikšķile,Ezera  iela 68,Ikšķiles novads,2008,250.1,445.28,2.52,176.7,2,1,0,0,C,91,78,0,1,1,0,0,BIS-ĒED-2-2021-4082,B,53,13,0,2,0,68,25,23,32.05,3,70,0,0.03,0.2,367,0.34,0.32,0.71,0.75,20,24,0.35,0.3,Ģeotermālā enerģija,-,Ģeotermālā enerģija,-,-,-,-,0,-,0,-,-,-,-,0,-,0,-,-,-,-,1,-,1,-,-,-,-,1,-,1,-,-,-,-
PME-189,27.05.2021,Rīgas,Griķi,"""Dimanti""",Inčukalna novads,1975,164.28,306.75,2.78,110.34,2,1,0,0,E,180.29,162.05,7.21,1,0,0,0,BIS-ĒED-2-2022-3940,C,87,18,0,0,0,105,75.05,75.29,46.31,21,126,0,0.46,4.21,340,0.31,0.31,0.97,0.95,20,27,0.5,0.47,Solid biofuel,-,Solid biofuel,-,-,-,-,40,-,40,-,-,-,-,0.2,-,0.2,-,-,-,-,1,-,1,-,-,-,-,1.2,-,1.2,-,-,-,-
PME-123,27.05.2021,Rīgas,Sigulda,Ķ1šu iela 5,Sigulda,1999,159.8,309.2,2.7,114.5,2,0,0,1,C,119.1,83.5,22.48,0,1,0,0,BIS-ĒED-2-2021-3878,A,55,30,0,0,8,94,28.4,25.6,34.01,93,102,0,1.92,16.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PME-24,27.05.2021,Vidzemes,Jaungulbene,Bērzu iela 11,Gulbenes novads,1983,120,288,2.4,120,2,0,0,1,E,194.3,165,9.66,1,1,0,0,BIS-ĒED-2-2022-3445,C,90,20,0,0,9,118,75,76.3,45.45,158,163,0,0.35,2.95,277,0.37,0.28,0.93,0.96,20,20,0.4,0.33,Wood/wood waste,-,Wood/wood waste,-,-,Electricity from the grid,-,15.6,-,15.6,-,-,109,-,1.1,-,1.1,-,-,1.9,-,0,-,0,-,-,0.6,-,1.1,-,1.1,-,-,2.5,-
PME-25,27.05.2021,Zemgales,"Viesturciems, Glūdas pagasts",Viesturi 47,Jelgavas novads,1993,69.4,218.64,2.37,61.6,2,0,1,0,F,295.2,266.5,16.46,1,1,0,0, BIS-ĒED-2-2021-3853,B,74,26,4,0,0,108,193,187.4,72.42,56,165,0,0.55,5.98,284,0.27,0.28,0.91,1.16,20,27,0.45,0.11,Solid biofuel,Electricity from the grid,Solid biofuel,Electricity from the grid,Electricity from the grid,Electricity from the grid,-,40,109,40,109,109,109,-,0.2,1.9,0.2,1.9,1.9,1.9,-,1,0.6,1,0.6,0.6,0.6,-,1.2,2.5,1.2,2.5,2.5,2.5,-
PME-200,27.05.2021,Kurzemes,Blīdenes pagasts,Jaunbērzi,Brocēnu novads,1979,142.1,238.25,2.54,93.8,1,1,0,0,D,179,148,8.2,1,0,0,0,BIS-ĒED-2-2022-5637,B,62,31,0,0,0,93,86,86,58.11,34,139,0,0.45,4.83,306,0.27,0.29,0.92,1.11,19.7,22.9,0.34,0.29,Solid biofuel,-,Electricity from the grid,Solid biofuel,-,-,-,40,-,109,40,-,-,-,0.2,-,1.9,0.2,-,-,-,1,-,0.6,1,-,-,-,1.2,-,2.5,1.2,-,-,-
PME-195,27.05.2021,Vidzemes,Praulienas pagasts,Skaistkalni 11,Madonas novads,2007,174,396,2.72,145.6,2,0,1,0,D,135.29,114.11,5.41,1,0,0,0,BIS-ĒED-2-2022-2427,C,86,27,0,0,0,113,28.11,22.29,24.63,155,155,0,0.32,2.21,427,0.32,0.32,0.92,0.92,19,25,0.44,0.3,Wood/wood waste,-,Wood/wood waste,-,-,-,-,15.6,-,15.6,-,-,-,-,1.1,-,1.1,-,-,-,-,0,-,0,-,-,-,-,1.1,-,1.1,-,-,-,-
PME-196,27.05.2021,Kurzemes,Saldus ,Pļavas iela 1,Saldus novads,1995,167.4,279,2.6,107.5,2,1,0,0,F,215.8,185.8,45.89,1,0,0,0,BIS-ĒED-2-2022-2548,C,88,30,0,0,20,138,97.8,77.8,52.64,174,186,0,2.93,27.26,343,0.23,0.28,0.99,1.24,18,0,0.45,0.39,Gas,-,Gas,-,-,Electricity from the grid,-,202,-,202,-,-,109,-,1.1,-,1.1,-,-,1.9,-,0,-,0,-,-,0.6,-,1.1,-,1.1,-,-,2.5,-
PME-191,27.05.2021,Vidzemes,Aronas pagasts,Ūbeles,Madonas novads,1933,139.8,306.74,2.45,133.6,1,1,0,0,F,179.5,157.5,40.59,1,1,0,0,BIS-ĒED-2-2022-5417,C,85,25,3,0,0,114,72.5,65.5,46.03,143,147,0,3.11,24.84,452,0.24,0.25,0.94,1.14,20,27,0.48,0.11,Electricity from the grid,Gas,Electricity from the grid,Gas,Electricity from the grid,-,-,109,202,109,202,109,-,-,1.9,1.1,1.9,1.1,1.9,-,-,0.6,0,0.6,0,0.6,-,-,2.5,1.1,2.5,1.1,2.5,-,-
PME-112,27.05.2021,Vidzemes,Ape,Pasta iela 23,Apes novads,1999,78,296.75,2.5,69.6,1,0,0,0,F,410.44,394.89,16.42,1,1,0,1,BIS-ĒED-2-2022-3626,A,59,28,3,0,0,89,335.89,321.44,85.06,4,54,1,0.03,0.28,351,0.2,0.3,0.7,0.8,20,25,0.4,0.07,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",-,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",-,Electricity from the grid,-,-,0,-,0,-,109,-,-,0,-,0,-,1.9,-,-,1,-,1,-,0.6,-,-,1,-,1,-,2.5,-,-
PME-175,27.05.2021,Kurzemes,"Ugāle, Ugāles pagasts",Iči,Ventspils novads,1990,123.1,287.25,2.5,114.9,2,0,0,0,D,162,141,8,1,0,0,0,BIS-ĒED-2-2022-5153,B,68,19,0,0,0,87,73,75,51.77,21,123,0,0.48,4.15,282,0.34,0.3,0.86,0.88,20.5,22.7,0.35,0.3,Solid biofuel,-,Electricity from the grid,Solid biofuel,-,-,-,40,-,109,40,-,-,-,0.2,-,1.9,0.2,-,-,-,1,-,0.6,1,-,-,-,1.2,-,2.5,1.2,-,-,-
PME-149,27.05.2021,Kurzemes,Liepāja ,Vaiņodes iela 22A,Liepāja,1960,65.3,263.17,2.56,65.3,2,0,0,0,D,181,147,13,1,0,0,0,BIS-ĒED-2-2022-3136,B,75,23,0,0,0,98,72,83,48.98,67,196,0,0.74,7.15,271,0.41,0.3,1.12,0.97,20.5,21.3,0.35,0.3,Solid biofuel,-,Electricity from the grid,-,-,-,-,40,-,109,-,-,-,-,0.2,-,1.9,-,-,-,-,1,-,0.6,-,-,-,-,1.2,-,2.5,-,-,-,-
PME-181,27.05.2021,Zemgales,Jēkabpils,Ošu iela 1,Jēkabpils,2002,280.63,589,2.76,213.5,2,1,0,0,D,136.82,122.46,5.47,1,1,0,1,BIS-ĒED-2-2022-2103,C,90,14,0,0,0,104,32.46,32.82,26.51,143,143,0,0.43,2.03,430,0.57,0.57,1.14,1.14,19,25,0.38,0.3,Wood/wood waste,-,Wood/wood waste,-,-,-,-,15.6,-,15.6,-,-,-,-,1.1,-,1.1,-,-,-,-,0,-,0,-,-,-,-,1.1,-,1.1,-,-,-,-
PME-180,27.05.2021,Rīgas,Pūres pagasts,Zemgaļi,Tukuma novads,1928,91.7,242.6,2.75,88.2,1,0,0,0,D,170,142,11,1,1,1,0,BIS-ĒED-2-2021-3620,C,87,28,0,3,0,118,55,52,38.73,1,13,0,0.08,1,303,0.4,0.21,1.38,1.18,20,24,0.35,0.33,Vides enerģija,-,Vides enerģija,Electricity from the grid,-,-,-,0,-,0,109,-,-,-,0,-,0,1.9,-,-,-,1,-,1,0.6,-,-,-,1,-,1,2.5,-,-,-
PME-71,27.05.2021,Rīgas,Tīnūžu pagasts,Pamales,Ikšķiles novads,2016,166.1,336.8,2.5,134.7,2,0,0,1,C,111.8,76.2,4.59,0,1,0,1,BIS-ĒED-2-2021-3412,B,54,22,0,0,17,92,22.4,19.5,29.3,23,114,0,0.49,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PME-118,27.05.2021,Rīgas,Ķegums,Kuģu iela 19,Ķeguma novads,1960,109.94,331.78,2.42,115.04,2,0,1,0,F,313.44,286.08,12.54,1,1,0,0,BIS-ĒED-2-2022-6069,B,65,25,0,0,0,90,221.08,223.44,77.28,22,134,0,0.62,4.49,448,0.22,0.27,0.73,0.9,19,25,0.37,0.3,Solid biofuel,-,Solid biofuel,-,-,-,-,40,-,40,-,-,-,-,0.2,-,0.2,-,-,-,-,1,-,1,-,-,-,-,1.2,-,1.2,-,-,-,-
PME-83,27.05.2021,Zemgales,"Jaunbērze, Jaunbērzes pagasts",Bērzu iela 12,Dobeles novads,1994,223.7,285.84,2.4,119.1,1,1,1,0,E,184.3,155.1,37.23,1,1,0,0,BIS-ĒED-2-2021-3855,C,72,29,0,0,0,101,83.13,83.1,53.6,,120,0,2.65,21.98,316,0.29,0.28,0.8,1.07,21,-,0.4,0.32,Gas,-,Gas,-,-,-,-,202,-,202,-,-,-,-,1.1,-,1.1,-,-,-,-,0,-,0,-,-,-,-,1.1,-,1.1,-,-,-,-
PME-87,27.05.2021,Rīgas,Zvejniekciems,Duntes 2,Saulkrastu novads,2007,171.8,368,2.5,147.4,1,0,0,0,E,170.98,152.92,0,1,0,0,0,BIS-ĒED-2-2022-2828,C,82,26,0,0,0,109,70.92,61.98,46.38,0,63,0,0,0,577,0.36,0.36,1.38,1.38,20,25,0.3,0.3,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",-,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",-,-,-,-,0,-,0,-,-,-,-,0,-,0,-,-,-,-,1,-,1,-,-,-,-,1,-,1,-,-,-,-
PME-80,27.05.2021,Rīgas,"Bigauņciems, Lapmežciema pagasts",B1zes iela 7,Engures novads,1997,94.5,211.25,2.5,84.5,2,1,0,0,D,165.9,110.1,6.78,1,1,0,0,BIS-ĒED-2-2022-3104,C,81,30,0,0,25,136,29.1,29.9,26.43,183,198,0,0.4,4.68,295,0.29,0.28,1.05,1.23,20,20,0.45,0.38,Wood/wood waste,-,Wood/wood waste,-,-,Electricity from the grid,-,15.6,-,15.6,-,-,109,-,1.1,-,1.1,-,-,1.9,-,0,-,0,-,-,0.6,-,1.1,-,1.1,-,-,2.5,-
PME-52,27.05.2021,Zemgales,Jelgava,Rītausmas iela 3,Jelgava,2004,140.5,324,2.5,129.6,2,0,0,1,D,130.4,96.9,5.57,1,0,0,0,BIS-ĒED-2-2021-2708,C,72,22,0,0,12,105,25.3,25.2,26.11,27,137,0,0.58,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PME-157,27.05.2021,Zemgales,Viesīte,P. Stradiņa iela 10,Viesītes novads,1986,118.1,271.6,2.3,118.1,2,0,0,1,D,169.7,139.7,7.66,1,0,0,0,BIS-ĒED-2-2021-3749,C,84,24,0,0,6,114,55.5,56,39.73,27,156,0,0.6,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PME-156,27.05.2021,Rīga,Rīga,Kalētu iela 1,Rīga,1963,210.1,497.3,2.8,177.6,2,1,0,0,E,160.8,139.3,32.58,1,0,0,0,BIS-ĒED-2-2021-2866,C,78,22,0,0,0,99,61.4,61.4,44.08,126,129,0,3.89,21.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PME-153,27.05.2021,Rīgas,Salacgrīva,Smilšu iela 15,Salacgrīvas novads,1983,131.1,235.67,2.57,91.7,1,1,0,0,F,493.9,464.3,25.33,1,1,0,0,BIS-ĒED-2-2022-4158,C,90,31,4,0,0,125,374.3,368.9,80.62,62,206,0,0.68,7.37,374,0.23,0.25,1.05,1.39,20,25,0.48,0.09,Electricity from the grid,Solid biofuel,Electricity from the grid,Solid biofuel,Electricity from the grid,-,-,109,40,109,40,109,-,-,1.9,0.2,1.9,0.2,1.9,-,-,0.6,1,0.6,1,0.6,-,-,2.5,1.2,2.5,1.2,2.5,-,-
PME-95,27.05.2021,Latgales,Līvāni,Baznīcas iela 9,Līvānu novads,1955,135.62,337.53,2.6,129.82,2,1,0,1,E,168.3,134.6,7.52,1,1,0,0,BIS-ĒED-2-2022-3102,C,86,26,0,0,7,165,48.6,3.3,36.11,165,169,0,0.38,2.9,360,0.3,0.28,0.9,1.03,19,24,0.4,0.35,Wood/wood waste,-,Wood/wood waste,-,-,Electricity from the grid,-,15.6,-,15.6,-,-,109,-,1.1,-,1.1,-,-,1.9,-,0,-,0,-,-,0.6,-,1.1,-,1.1,-,-,2.5,-
PME-81,27.05.2021,Latgales,Rugāju pagasts,"""Kļavas""",Balvu novads,1936,103.7,241.68,2.65,91.2,1,0,0,0,F,252.1,196.2,13.94,1,0,0,0,BIS-ĒED-2-2021-3506,C,78,56,0,0,0,134,118.12,118.12,60.2,132,296,0,1.03,11.3,343,0.22,0.27,0.95,1.38,20,-,0.4,0.36,Wood stove,-,Electricity from the grid,-,-,-,-,40,-,109,-,-,-,-,0.2,-,1.9,-,-,-,-,1,-,0.6,-,-,-,-,1.2,-,2.5,-,-,-,-
PME-70,27.05.2021,Kurzemes,Saldus,Bērzu iela 12,Saldus novads,1963,57.3,139.75,2.5,55.9,1,0,0,0,D,204,146,13,1,0,0,0,BIS-ĒED-2-2022-3080,B,72,58,0,0,0,130,74,74,50.68,39,239,0,0.45,7.99,199,0.37,0.26,1.33,1.13,20.3,22.3,0.35,0.3,Solid biofuel,-,Solid biofuel,-,-,-,-,40,-,40,-,-,-,-,0.2,-,0.2,-,-,-,-,1,-,1,-,-,-,-,1.2,-,1.2,-,-,-,-
PME-47,27.05.2021,Zemgales,Bauska,1.maija iela 10,Bauskas novads,2007,134,361.8,2.7,134,2,0,1,0,E,145.87,125.03,29.47,1,1,0,0,BIS-ĒED-2-2022-3508,C,94,21,0,0,0,73,31.03,72.87,24.82,114,114,0,2.83,21.1,337,0.37,0.37,0.93,0.93,19,25,0.41,0.35,Gas,-,Gas,-,-,-,-,202,-,202,-,-,-,-,1.1,-,1.1,-,-,-,-,0,-,0,-,-,-,-,1.1,-,1.1,-,-,-,-
PME-135,27.05.2021,Rīgas,Tukums,Saules iela 9,Tukuma novads,1995,249.2,359.55,2.25,159.8,2,1,0,0,C,91,76,4,1,1,0,0,BIS-ĒED-2-2022-5964,A,44,15,0,0,0,59,32,32,42.11,16,81,0,0.38,2.4,346,0.32,0.32,0.7,0.79,20.5,21.3,0.35,0.27,Solid biofuel,-,Termālā enerģija,Electricity from the grid,-,-,-,40,-,0,109,-,-,-,0.2,-,0,1.9,-,-,-,1,-,1,0.6,-,-,-,1.2,-,1,2.5,-,-,-
PME-86,27.05.2021,Vidzemes,"Kārķi, Kārķu pagasts",Kalves,Valkas novads,1987,196.6,390.3,2.3,169.7,2,1,0,1,D,143.3,112.6,6.55,1,0,0,0,BIS-ĒED-2-2021-3750,C,90,19,0,0,12,120,23,23,20.43,26,152,0,0.83,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PME-121,27.05.2021,Zemgales,Koknese,Upes iela 8,Kokneses novads,1988,126,326,2.5,130.5,2,0,1,0,E,150.2,132.33,6.01,1,1,0,0,BIS-ĒED-2-2022-2466,C,89,18,0,0,0,107,43.33,43.2,32.74,147,147,0,0.27,2.09,362,0.48,0.48,1.34,1.34,19,25,0.35,0.3,Wood/wood waste,-,Wood/wood waste,-,-,-,-,15.6,-,15.6,-,-,-,-,1.1,-,1.1,-,-,-,-,0,-,0,-,-,-,-,1.1,-,1.1,-,-,-,-
PME-104,27.05.2021,Vidzemes,Raunas pagasts,Vidzemes iela 1,Raunas novads,1930,116,287,2.9,99,1,1,0,0,D,174,149,13,1,1,1,0,BIS-ĒED-2-2022-906,C,83,31,0,0,0,114,66,60,44.3,26,139,0,0.47,4.71,294,0.39,0.26,1.16,0.83,20,24,0.35,0.35,Solid biofuel,-,Electricity from the grid,Solid biofuel,-,-,-,40,-,109,40,-,-,-,0.2,-,1.9,0.2,-,-,-,1,-,0.6,1,-,-,-,1.2,-,2.5,1.2,-,-,-
PME-19,27.05.2021,Zemgales,Jelgava ,Romas iela 72,Jelgavas novads,1959,102,255,2.5,102,2,0,1,0,D,156.1,125.7,6.82,1,1,0,0,BIS-ĒED-2-2022-2222,C,81,25,0,0,6,113,44.7,43.1,35.56,141,144,0,0.25,2.46,332,0.29,0.28,1.04,1.26,20,24,0.4,0.34,Wood/wood waste,-,Wood/wood waste,-,-,Electricity from the grid,-,15.6,-,15.6,-,-,109,-,1.1,-,1.1,-,-,1.9,-,0,-,0,-,-,0.6,-,1.1,-,1.1,-,-,2.5,-
PME-88,27.05.2021,Vidzemes,Cēsis,Smilgu iela 5,Cēsu novads,1983,66.29,149.59,2.4,62.33,2,1,0,0,D,192.3,146.6,36.91,1,0,0,0,bis-ēed-2-2022-3450,C,79,36,0,0,13,128,67.6,64.3,46.11,151,159,0,1.54,24.64,262,0.21,0.27,0.97,1.52,20,24,0.4,0.33,Gas,-,Gas,-,-,Electricity from the grid,-,202,-,202,-,-,109,-,1.1,-,1.1,-,-,1.9,-,0,-,0,-,-,0.6,-,1.1,-,1.1,-,-,2.5,-
PME-76,27.05.2021,Rīgas,Sigulda,Vainagu iela 8,Siguldas novads,1994,195.5,424.3,2.5,169.7,2,1,0,0,F,201.6,156.9,36.44,1,1,0,0,BIS-ĒED-2-2021-3582,C,90,20,0,0,27,137,67.3,65.1,42.89,122,135,0,3.76,22.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PME-69,27.05.2021,Zemgales,Jelgava,Liepu iela 18,Jelgava,1997,258.6,569,2.4,237.1,2,0,0,0,D,132.1,123.6,5.9,1,1,0,0,BIS-ĒED-2-2022-2691,B,64,15,5,0,9,93,59.6,39.1,48.22,53,70,0,0.73,3.09,649,0.42,0.29,1.16,0.79,20,25,0.7,0.57,Electricity from the grid,-,Electricity from the grid,-,Electricity from the grid,Electricity from the grid,-,109,-,109,-,109,109,-,1.9,-,1.9,-,1.9,1.9,-,0.6,-,0.6,-,0.6,0.6,-,2.5,-,2.5,-,2.5,2.5,-
PME-94,27.05.2021,Vidzemes,Vestienas pagasts,Apīņi,Madonas novads,1950,93.2,233,2.5,93.2,1,0,0,0,F,206.91,193.16,8.23,1,0,0,0,BIS-ĒED-2-2022-6384,C,95,14,0,0,0,109,98.16,97.91,50.82,27,163,0,0.51,5.43,366,0.38,0.38,1.48,1.48,19,25,0.36,0.3,Solid biofuel,-,Solid biofuel,-,-,-,-,40,-,40,-,-,-,-,0.2,-,0.2,-,-,-,-,1,-,1,-,-,-,-,1.2,-,1.2,-,-,-,-
PME-51,27.05.2021,Rīgas,Garkalne,St1nu iela 3,Ādažu novads,2014,303.29,598.8,3,199.6,2,1,0,0,D,136.14,116.29,5.45,1,0,1,1,BIS-EED-2-2022-5115,C,90,20,0,0,0,110,26.29,26.14,22.61,27,164,0,1.09,5.48,548,0.41,0.41,1.13,1.13,20,25,0.35,0.3,Solid biofuel,-,Solid biofuel,-,-,-,-,40,-,40,-,-,-,-,0.2,-,0.2,-,-,-,-,1,-,1,-,-,-,-,1.2,-,1.2,-,-,-,-
PME-84,27.05.2021,Vidzemes,Valmiera,Sporta iela 28,Valmiera,1998,366.4,727,2.4,302.9,3,1,0,0,E,156.4,134.9,7.97,1,1,0,0,BIS-ĒED-2-2021-3026,C,78,22,0,0,0,100,57,56.9,42.25,30,152,0,1.56,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PME-44,27.05.2021,Zemgales,"Dalbe, Cenu pagasts",Alejas iela 1,Ozolnieku novads,1999,102.4,284.96,2.6,109.6,2,0,1,0,D,157.92,136.82,6.32,1,1,0,0,BIS-ĒED-2-2022-4119,C,93,21,0,0,0,114,43.82,43.92,32.03,0,66,0,0,0,351,0.35,0.35,1.1,1.1,20,25,0.3,0.3,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",-,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",-,-,-,-,0,-,0,-,-,-,-,0,-,0,-,-,-,-,1,-,1,-,-,-,-,1,-,1,-,-,-,-
PME-74,27.05.2021,Zemgales,Jelgava,Lauku iela 1,Jelgava,2017,233.7,584,2.6,224.75,2,0,0,0,D,123.32,106.02,4.93,1,1,0,0,BIS-ĒED-2-2022-635,C,80,17,2,0,0,99,26.02,24.32,24.54,6,104,0,0.09,0.4,711,0.33,0.33,1.05,1.3,19,25,0.41,0.12,Electricity from the grid,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower","Aerothermal, geothermal, hydrothermal and marine energy, hydropower",-,Electricity from the grid,-,-,109,0,0,-,109,-,-,1.9,0,0,-,1.9,-,-,0.6,1,1,-,0.6,-,-,2.5,1,1,-,2.5,-,-
PME-78,27.05.2021,Kurzemes,Novadnieku pagasts,Mārtiņi,Saldus novads,1936,71.9,150,2.35,64.1,1,0,0,0,C,132,94,11,1,1,1,0,BIS-ĒED-2-2022-178,A,47,31,0,0,0,78,47,54,50,84,85,0,386.15,0.2,206,0.34,0.27,1.11,1.24,20,24,0.35,0.28,Gas,-,Gas,-,Elektroenerģija ar ēku energoefektivitāti (ĒEE) nesaistītai lietošanai,-,-,202,-,202,-,109,-,-,1.1,-,1.1,-,1.9,-,-,0,-,0,-,0.6,-,-,1.1,-,1.1,-,2.5,-,-
PME-35,27.05.2021,Kurzemes,Rumbas pagasts,Rijaskalni,Kuldīgas novads,1929,114.5,511,2.37,114.5,1,0,1,0,F,320,286.9,8.19,1,1,0,0,BIS-ĒED-2-2022-839,C,87,23,0,0,0,110,199.9,210,69.68,41,142,0,0.51,2.35,622,0.35,0.27,0.85,1.11,20,0,0.5,0.4,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Electricity from the grid,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Electricity from the grid,-,-,-,0,109,0,109,-,-,-,0,1.9,0,1.9,-,-,-,1,0.6,1,0.6,-,-,-,1,2.5,1,2.5,-,-,-
PME-18,27.05.2021,Zemgales,Jelgava,Iecavas iela 9,Jelgava,1978,248.36,745,3,198.36,3,0,0,1,D,131.77,108.39,5.27,1,1,0,0,BIS-ĒED-2-2022-1098,C,68,23,0,0,0,92,40.39,39.77,37.26,100,100,0,0.35,1.43,628,0.34,0.3,0.85,0.76,19,25,0.4,0.3,Wood/wood waste,-,Wood/wood waste,-,-,-,-,15.6,-,15.6,-,-,-,-,1.1,-,1.1,-,-,-,-,0,-,0,-,-,-,-,1.1,-,1.1,-,-,-,-
PME-59,27.05.2021,Rīgas,Ogresgals,Ābeļu iela 4,Ogres novads,1985,162.1,362.9,2.3,157.8,2,1,0,1,F,191,159.6,8.67,1,0,0,0,BIS-ĒED-2-2021-3715,C,86,21,0,0,10,116,74.1,75.1,46.43,26,150,0,0.76,4.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PME-58,27.05.2021,Kurzemes,"Saulaine, Priekules pagasts",Bērzu iela 13,Priekules novads,1956,143.9,321,2.58,124.6,2,1,0,0,C,92,72,8.6,1,0,0,0,BIS-EĒD-2-2022-2959,A,40,20,0,0,0,60,32,32,44.44,18,110,0,0.46,3.69,317,0.26,0.28,0.68,0.87,20,21,0.35,0.31,Solid biofuel,-,Solid biofuel,-,-,-,-,40,-,40,-,-,-,-,0.2,-,0.2,-,-,-,-,1,-,1,-,-,-,-,1.2,-,1.2,-,-,-,-
PME-45,27.05.2021,Kurzemes,Saldu,Liepu 6,Saldus novads,1970,75.7,157.3,2.55,61.7,1,0,0,0,D,169,130,13,1,1,0,0,BIS-ĒED-2-2021-3947,B,70,39,0,4,0,113,60,56,46.15,82,17,0,0.3,4.7,228,0.33,0.26,1.25,1.34,20,24,0.35,0.3,Vides enerģija,-,Electricity from the grid,-,-,-,-,0,-,109,-,-,-,-,0,-,1.9,-,-,-,-,1,-,0.6,-,-,-,-,1,-,2.5,-,-,-,-
PME-41,27.05.2021,Vidzemes,Liezēres pagasts,Birzītes,Madonas novads,1932,129.1,296.93,2.3,129.1,2,0,0,1,D,156.6,126.9,6.8,1,0,0,0,BIS-ĒED-2-2022-4032,C,88,19,0,0,11,118,38.9,38.6,30.65,141,145,0,0.32,2.46,425,0.2,0.3,0.8,1.1,20,20,0.5,0.4,Wood/wood waste,-,Wood/wood waste,-,-,Electricity from the grid,-,15.6,-,15.6,-,-,109,-,1.1,-,1.1,-,-,1.9,-,0,-,0,-,-,0.6,-,1.1,-,1.1,-,-,2.5,-
